Time(s),CO%,Ar MFC (sccm),CO2 MFC (sscm),Temprature (°C)
0.0638090000138618,0.01,100.01853942871094,99.841064453125,26.0
1.0009788000024855,0.01,99.93228149414062,100.01158142089844,26.0
2.002183399978094,0.01,100.02413177490234,99.86505126953125,26.0
3.0039403999689966,0.01,99.96417999267578,100.0682373046875,26.0
4.001649399986491,0.01,99.98509216308594,99.87167358398438,26.0
5.002102300000843,0.01,99.98463439941406,100.04938507080078,26.0
6.003170199983288,0.01,100.08367156982422,99.9191665649414,26.0
7.0010253000073135,0.01,99.99285888671875,99.95304107666016,26.0
13.139202299993485,0.01,0.0,0.0,26.0
13.278545700013638,0.01,0.0,0.0,26.0
13.419976799981669,0.01,0.0,0.0,26.0
13.54403699998511,0.01,0.0,0.0,26.0
13.679727600014303,0.01,0.0,0.0,26.0
13.816393100016285,0.01,0.0,0.0,26.0
14.002974600007292,0.01,0.0,0.0,26.0
15.002714400005061,0.01,0.0,0.0,26.0
16.000760399969295,0.01,0.0,0.0,26.0
17.000802399998065,0.0,0.0,0.0,26.0
18.00168990000384,0.01,0.0,0.0,26.0
19.00080529996194,0.01,0.0,0.0,26.0
20.006044999987353,0.0,0.0,0.0,26.0
21.002547700016294,0.0,0.0,0.0,26.0
22.002871899981983,0.0,0.0,0.0,26.0
23.001601499971002,0.0,0.0,0.0,26.0
35.73839840001892,0.0,0.0,0.0,26.0
35.86781660001725,0.0,0.0,0.0,26.0
36.00495739997132,0.0,0.0,0.0,26.0
36.14062309998553,0.0,0.0,0.0,26.0
36.26472809998086,0.01,0.0,0.0,26.0
36.39839489996666,0.01,0.0,0.0,26.0
36.55091439996613,0.01,0.0,0.0,26.0
36.673186899977736,0.01,0.0,0.0,26.0
36.806350599974394,0.01,0.0,0.0,26.0
36.93950739997672,0.01,0.0,0.0,26.0
37.07547909999266,0.01,0.0,0.0,26.0
37.2109211999923,0.01,0.0,0.0,26.0
37.335541900014505,0.01,0.0,0.0,26.0
37.458857399993576,0.01,0.0,0.0,26.0
38.00218459998723,0.01,0.0,0.0,26.0
39.00441039999714,0.01,0.0,0.0,26.0
40.003392399987206,0.01,0.0,0.0,26.0
41.00268239999423,0.01,0.0,0.0,26.0
42.00238109997008,0.01,0.0,0.0,26.0
54.15583800000604,0.01,0.0,0.0,26.0
54.28414599999087,0.01,0.0,0.0,26.0
54.416688499972224,0.01,0.0,0.0,26.0
54.545815799967386,0.01,0.0,0.0,26.0
54.67709319997812,0.01,0.0,0.0,26.0
54.809154799964745,0.01,0.0,0.0,26.0
54.95117269997718,0.01,0.0,0.0,26.0
55.087282399996184,0.01,0.0,0.0,26.0
55.2212937999866,0.01,0.0,0.0,26.0
55.36047889996553,0.01,0.0,0.0,26.0
55.50896499998635,0.01,0.0,0.0,26.0
55.641127299983054,0.0,0.0,0.0,26.0
55.77062389999628,0.0,0.0,0.0,26.0
56.00496980000753,0.01,0.0,0.0,26.0
57.00148370000534,0.01,0.0,0.0,26.0
58.00548920000438,0.01,0.0,0.0,26.0
59.00232630001847,0.01,0.0,0.0,26.0
60.00187330000335,0.01,0.0,0.0,26.0
61.002932899980806,0.01,0.0,0.0,26.0
62.001853699970525,0.01,0.0,0.0,26.0
63.003190999967046,0.01,0.0,0.0,26.0
64.00087109999731,0.01,0.0,0.0,26.0
65.0017489999882,0.01,0.0,0.0,26.0
66.00430809997488,0.01,0.0,0.0,26.0
67.00206219998654,0.01,0.0,0.0,26.0
68.00181659997907,0.01,0.0,0.0,26.0
86.2007416000124,0.01,49.87760925292969,49.6904411315918,26.0
86.3447654999909,0.01,49.86644744873047,49.68523406982422,26.0
86.46704650000902,0.01,49.822689056396484,49.67965316772461,26.0
86.60566200001631,0.02,49.86724853515625,49.61623001098633,26.0
86.72546889999649,0.02,49.86662292480469,49.7094841003418,26.0
86.89247889997205,0.02,49.80586624145508,49.79066467285156,26.0
87.00916359998519,0.02,49.82521057128906,49.7486686706543,26.0
87.1475942999823,0.02,49.83424758911133,49.650543212890625,26.0
87.26287749997573,0.02,49.956417083740234,49.62952423095703,26.0
87.38697469996987,0.02,49.97469711303711,49.67294692993164,26.0
87.52419939998072,0.02,49.8773193359375,49.737213134765625,26.0
87.64778269996168,0.02,49.87960433959961,49.83555603027344,26.0
87.77740009996342,0.02,49.87077713012695,49.77850341796875,26.0
87.91122979996726,0.02,49.92772674560547,49.71935272216797,26.0
88.0317721000174,0.02,49.84016799926758,49.78969192504883,26.0
88.15113489999203,0.02,49.77420425415039,49.798099517822266,26.0
88.27849569998216,0.03,49.82375717163086,49.76780700683594,26.0
88.40163829998346,0.02,49.84477615356445,49.750492095947266,26.0
88.5374681999674,0.02,49.89853286743164,49.660369873046875,26.0
88.67558779998217,0.02,49.88223648071289,49.65089797973633,26.0
89.0078155999654,0.03,49.7723388671875,49.80143737792969,26.0
90.0022772999946,0.03,49.87369918823242,49.81197738647461,26.0
91.0020186000038,0.03,49.84749221801758,49.8236198425293,26.0
92.00083869998343,0.03,49.8937873840332,49.71661376953125,26.0
93.00549389998196,0.03,49.85778045654297,49.912147521972656,26.0
94.00135599996429,0.03,49.941158294677734,49.77122497558594,26.0
95.00447410001652,0.03,49.82928466796875,49.883514404296875,26.0
96.00177430000622,0.03,49.91221618652344,49.888980865478516,26.0
